commercant,sku,reference_interne_magasin,,,,name,Pain tranché?:drop_down:1,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,unite_prix,prix_public,status,on_selection,short_description,poids_portion,nbre_portion,poids_par_pers,weight,price,prix_kilo_site,description,suggestion_utilisation,conseil_commercant,tax_class_id,marge_arriere,cost,categories,_product_websites,store,websites,image,small_image,thumbnail,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
La Fille du Boulanger,FDB17-PAT-0001,,PAT,Pains Tradi',,Baguette,,,,,,,,pièce,0.90 €,Activé,,La baguette de 250g,0.250,1,,0.250,0.90 €,0.9 €/pièce,,,,5,0.11,0.76 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguette.jpg,baguette.jpg,baguette.jpg,,Baguette,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0002,,PAT,Pains Tradi',,Demie Baguette,,,,,,,,pièce,0.45 €,Activé,,La demi-baguette de 125g,0.125,1,,0.125,0.45 €,0.45 €/pièce,,,,5,0.11,0.38 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguette.jpg,baguette.jpg,baguette.jpg,,Demie Baguette,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0003,,PAT,Pains Tradi',,Tradition Label Rouge,,,,,,Label Rouge,,pièce,1.15 €,Activé,1,La baguette de 250g,0.250,1,,0.250,1.15 €,1.15 €/pièce,,,,5,0.13,0.95 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,tradition.jpg,tradition.jpg,tradition.jpg,,Tradition Label Rouge,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0004,,PAT,Pains Tradi',,Demie Tradition Label Rouge,,,,,,,,pièce,0.60 €,Activé,,La demi-baguette de 125g,0.125,1,,0.125,0.60 €,0.6 €/pièce,,,,5,0.17,0.47 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,tradition.jpg,tradition.jpg,tradition.jpg,,Demie Tradition Label Rouge,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0005,,PAT,Pains Tradi',,Baguette des Prés,,,,,,,,pièce,1.20 €,Activé,,La baguette de 200g,0.200,1,,0.200,1.20 €,1.2 €/pièce,"La Baguette des Prés est une savoureuses baguettes élaborées avec de la farine de blé et une pointe de farine de seigle, auxquelles ont été incorporées des graines de tournesol, de sésame, de lin brun et de lin jaune. La cuisson libère tous les arômes des graines légèrement torréfiées. C’est un régal absolu.",,,5,0.13,1.00 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguettepre.jpg,baguettepre.jpg,baguettepre.jpg,,Baguette des Prés,"La Baguette des Prés est une savoureuses baguettes élaborées avec de la farine de blé et une pointe de farine de seigle, auxquelles ont été incorporées des graines de tournesol, de sésame, de lin brun et de lin jaune. La cuisson libère tous les arômes des graines légèrement torréfiées. C’est un réga",,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0006,,PAT,Pains Tradi',,Demie Baguette des Prés,,,,,,,,pièce,0.60 €,Activé,,La demi-baguette de 100g,0.100,1,,0.100,0.60 €,0.6 €/pièce,"La Baguette des Prés est une savoureuses baguettes élaborées avec de la farine de blé et une pointe de farine de seigle, auxquelles ont été incorporées des graines de tournesol, de sésame, de lin brun et de lin jaune. La cuisson libère tous les arômes des graines légèrement torréfiées. C’est un régal absolu.",,,5,0.17,0.47 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguettepre.jpg,baguettepre.jpg,baguettepre.jpg,,Demie Baguette des Prés,"La Baguette des Prés est une savoureuses baguettes élaborées avec de la farine de blé et une pointe de farine de seigle, auxquelles ont été incorporées des graines de tournesol, de sésame, de lin brun et de lin jaune. La cuisson libère tous les arômes des graines légèrement torréfiées. C’est un réga",,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0007,,PAT,Pains Tradi',,Tradition Graines,,,,,,,,pièce,1.30 €,Activé,,La baguette de 250g,0.250,1,,0.250,1.30 €,1.3 €/pièce,,,,5,0.12,1.09 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,traditiongraine.jpg,traditiongraine.jpg,traditiongraine.jpg,,Tradition Graines,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0008,,PAT,Pains Tradi',,Demie Tradition Graines,,,,,,,,pièce,0.65 €,Activé,,La demi-baguette de 125g,0.125,1,,0.125,0.65 €,0.65 €/pièce,,,,5,0.15,0.52 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,traditiongraine.jpg,traditiongraine.jpg,traditiongraine.jpg,,Demie Tradition Graines,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0009,,PAT,Pains Tradi',,Baguette Sésame,,,,,,,,pièce,1.20 €,Activé,,La baguette de 250g,0.250,1,,0.250,1.20 €,1.2 €/pièce,,,,5,0.13,1.00 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguettesesame.jpg,baguettesesame.jpg,baguettesesame.jpg,,Baguette Sésame,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
La Fille du Boulanger,FDB17-PAT-0010,,PAT,Pains Tradi',,Demie Baguette Sésame,,,,,,,,pièce,0.60 €,Activé,,La demi-baguette de 125g,0.125,1,,0.125,0.60 €,0.6 €/pièce,,,,5,0.17,0.47 €,Mon Boulanger/La Fille du Boulanger/Pains Tradi';;Mon Boulanger/La Fille du Boulanger/Tous,apdc_batignolles,batignolles,apdc_batignolles,baguettesesame.jpg,baguettesesame.jpg,baguettesesame.jpg,,Demie Baguette Sésame,,,"re::^FDB17-BRE,re::^FDB17-CHE,re::^FDB17-VAC",
