,sku,reference_interne_magasin,name,status,on_selection,unite_prix,prix_public,short_description,poids_portion,nbre_portion,price,prix_kilo_site,tax_class_id,marge_arriere,cost,image,small_image,thumbnail,image_label,small_image_label,thumbnail_label,_product_websites,store,websites,commercant,,,,produit_de_saison,,categories,Maturité (choisir une option):drop_down:1,,saisonnalite,producteur,lien_producteur,origine,labels_produits,produit_biologique,description,suggestion_utilisation,conseil_commercant,poids_par_pers,weight,notes_com,meta_title,meta_description,us_skus,re_skus,cs_skus
0,LRE-AGR-001,,Orange Navel Bio,0,1,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,LRE17-navel.jpg,LRE17-navel.jpg,LRE17-navel.jpg,Orange Navel Bio,Orange Navel Bio,Orange Navel Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,Direct Producteur,AB,,,,,1.000,,Orange Navel Bio - Au Pas De Courses,Orange Navel Bio - La Récolte - Le kilo - ,,,
Activé,LRE-AGR-002,,Orange Tarocco Bio,0,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,LRE17-tarocco.jpg,LRE17-tarocco.jpg,LRE17-tarocco.jpg,Orange Tarocco Bio,Orange Tarocco Bio,Orange Tarocco Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,,Italie Sicile,Direct Producteur,AB,"Orange mi sanguine (moro), mi-naveline",,,,1.000,,Orange Tarocco Bio - Au Pas De Courses,"Orange Tarocco Bio - La Récolte - Le kilo - Orange mi sanguine (moro), mi-naveline",,,
Activé,LRE-AGR-003,,Citron Bio,0,0,kg,3.95 €,la portion de 500g,0.500,1,1.98 €,3.95 €/kg,5,0.20,1.50 €,LRE17-citron.jpg,LRE17-citron.jpg,LRE17-citron.jpg,Citron Bio,Citron Bio,Citron Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,Direct Producteur,AB,,,,,0.500,,Citron Bio - Au Pas De Courses,Citron Bio - La Récolte - la portion de 500g - ,,,
0,LRE-AGR-004,,Orange sanguine Moro Bio,0,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,LRE17-Moro.jpg,LRE17-Moro.jpg,LRE17-Moro.jpg,Orange sanguine Moro Bio,Orange sanguine Moro Bio,Orange sanguine Moro Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Famille Salamita,http://www.salamita.it/,Italie Sicile,Direct Producteur,AB,Sanguine rouge et belle,,,,1.000,,Orange sanguine Moro Bio - Au Pas De Courses,Orange sanguine Moro Bio - La Récolte - Le kilo - Sanguine rouge et belle,,,
0,LRE-AGR-005,,Orange Naveline Bio,0,0,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,LRE17-naveline.jpg,LRE17-naveline.jpg,LRE17-naveline.jpg,Orange Naveline Bio,Orange Naveline Bio,Orange Naveline Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Familli Solarino,,Italie Sicile,,AB,,,,,1.000,,Orange Naveline Bio - Au Pas De Courses,Orange Naveline Bio - La Récolte - Le kilo - ,,,
Activé,LRE-AGR-006,,Pomelos Rose Bio,0,0,kg,3.20 €,La pièce d'environ 400g,0.400,1,1.28 €,3.2 €/kg,5,0.20,0.97 €,LRE17-pomelosrose.jpg,LRE17-pomelosrose.jpg,LRE17-pomelosrose.jpg,Pomelos Rose Bio,Pomelos Rose Bio,Pomelos Rose Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Rocca,,Italie Sicile,,AB,Chair rose,,,,0.400,,Pomelos Rose Bio - Au Pas De Courses,Pomelos Rose Bio - La Récolte - La pièce d'environ 400g - Chair rose,,,
0,LRE-AGR-007,,Pomelos Blanc Bio,0,0,kg,3.20 €,La pièce d'environ 400g,0.400,1,1.28 €,3.2 €/kg,5,0.20,0.97 €,LRE17-pomelosblanc.jpg,LRE17-pomelosblanc.jpg,LRE17-pomelosblanc.jpg,Pomelos Blanc Bio,Pomelos Blanc Bio,Pomelos Blanc Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Rocca,,Italie Sicile,,AB,Chair blanche,,,,0.400,,Pomelos Blanc Bio - Au Pas De Courses,Pomelos Blanc Bio - La Récolte - La pièce d'environ 400g - Chair blanche,,,
Activé,LRE-AGR-008,,Orange amère Bio,0,1,kg,2.95 €,Le kilo,1.000,1,2.95 €,2.95 €/kg,5,0.20,2.24 €,LRE17-orangeamere.jpg,LRE17-orangeamere.jpg,LRE17-orangeamere.jpg,Orange amère Bio,Orange amère Bio,Orange amère Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Salamita,http://www.salamita.it/,Italie Sicile,,AB,Pour vos confitures et vos plats cuisinés,,,,1.000,,Orange amère Bio - Au Pas De Courses,Orange amère Bio - La Récolte - Le kilo - Pour vos confitures et vos plats cuisinés,,,
0,LRE-AGR-009,,Clémentine Bio,0,0,kg,3.90 €,Le kilo,1.000,1,3.90 €,3.9 €/kg,5,0.20,2.96 €,LRE17-clementine.jpg,LRE17-clementine.jpg,LRE17-clementine.jpg,Clémentine Bio,Clémentine Bio,Clémentine Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,Salamita,,Italie Sicile,Direct Producteur,AB,,,,,1.000,,Clémentine Bio - Au Pas De Courses,Clémentine Bio - La Récolte - Le kilo - ,,,
0,LRE-AGR-010,,Mandarine Bio,0,0,kg,2.90 €,Le kilo,1.000,1,2.90 €,2.9 €/kg,5,0.20,2.20 €,LRE17-mandarine.jpg,LRE17-mandarine.jpg,LRE17-mandarine.jpg,Mandarine Bio,Mandarine Bio,Mandarine Bio,apdc_batignolles,"admin,batignolles",apdc_batignolles,La Récolte,Tous les fruits Bio,Agrumes Bio,,Oui,Primeur/La Récolte/Tous les fruits Bio,Primeur/La Récolte/Tous les produits Bio;;Primeur/La Récolte/Tous les fruits Bio/Agrumes Bio,,,,,,Italie Sicile,,AB,,,,,1.000,,Mandarine Bio - Au Pas De Courses,Mandarine Bio - La Récolte - Le kilo - ,,,
